CASEID,V102,V106,V113
10020158502,1,2,1
10020154602,1,1,1
10020154902,1,2,1
10020154405,1,2,1
10020159202,1,2,1
10050133402,0,1,0
10050131904,0,1,0
10050135802,0,1,0
10050135802,0,1,0
10050138004,0,1,0
10050136203,0,1,0
10050136203,0,1,0
10050308002,0,1,0
10050302203,0,1,0
10050302203,0,1,0
10050309803,0,0,0
10050309803,0,0,0
10050302602,0,0,0
10050305304,0,0,0
10050305304,0,0,0
10050305304,0,0,0
10050303302,0,3,0
10050303302,0,3,0
10050303102,0,1,0
10050307502,0,1,0
10050068602,0,1,1
10050063102,0,1,1
10050062702,0,1,1
10050065002,0,1,1
10050060703,0,1,1
10050062603,0,0,1
10050069202,0,1,1
10050066602,0,1,1
10050316504,0,1,1
10050316504,0,1,1
10050315304,0,0,1
10050316703,0,1,1
10050316202,0,1,1
10050310302,0,0,1
10050292804,0,1,0
10050292804,0,1,0
10050298602,0,1,1
10050298602,0,1,1
10050294802,0,3,0
10050292602,0,3,0
10050292602,0,3,0
10050291802,0,3,0
10050291802,0,3,0
10050296604,0,1,0
10050297802,0,3,0
10050296101,0,1,0
10050293102,0,3,0
10050099702,0,3,0
10050091002,0,3,0
10050090402,0,3,0
10050092804,0,1,0
10050094504,0,3,0
10050094504,0,3,0
10050402706,0,2,1
10050406804,0,3,0
10050406804,0,3,0
10050403004,0,1,1
10050401602,0,3,0
10050401602,0,3,0
10050401602,0,3,0
10050401004,0,1,1
10050407802,0,3,0
10050403504,0,0,1
10050021402,0,0,1
10050023904,0,1,0
10050023906,0,1,0
10050023402,0,1,1
10050028802,0,3,1
10050027904,0,0,0
10050027603,0,1,0
10050025404,0,1,1
10050025404,0,1,1
10050027802,0,3,1
10050217404,0,1,1
10050213402,0,1,1
10050213402,0,1,1
10050211704,0,1,1
10050211704,0,1,1
10050215302,0,3,1
10050216002,0,1,1
10050218402,0,1,1
10050074802,0,1,1
10050074602,0,1,1
10050079402,0,0,1
10050079402,0,0,1
10050079502,0,1,0
10050073004,0,1,1
10050073004,0,1,1
10050079604,0,1,1
10050079604,0,1,1
10050075402,0,1,0
10050076202,0,1,0
10050375002,0,1,0
10050375002,0,1,0
10050371603,0,2,1
10050371603,0,2,1
10050371502,0,3,0
10050375201,0,2,1
10050374002,0,1,0
10050371402,0,3,0
10050379802,0,1,0
10050379802,0,1,0
10050372902,0,1,1
10050371304,0,0,0
10050276202,0,3,0
10050272102,0,3,0
10050279503,0,0,0
10050276402,0,0,0
10050273102,0,1,0
10050279802,0,1,0
10050279802,0,1,0
10050277202,0,1,0
10050272702,0,3,0
